Rank,Club,Country,Level,Elo,From,To
38,Marseille,FRA,1,1748.92932129,2025-09-15,2025-09-16
39,Lyon,FRA,1,1747.90686035,2025-09-15,2025-09-16
40,Bologna,ITA,1,1744.81103516,2025-09-15,2025-09-16
41,Fiorentina,ITA,1,1744.45056152,2025-09-14,2025-09-16
42,Brugge,BEL,1,1738.17858887,2025-09-14,2025-09-16
43,Feyenoord,NED,1,1736.30358887,2025-09-14,2025-09-16
44,St Gillis,BEL,1,1735.23413086,2025-09-15,2025-09-16
45,Betis,ESP,1,1733.58105469,2025-09-15,2025-09-16
46,Porto,POR,1,1727.42565918,2025-09-14,2025-09-16
47,West Ham,ENG,1,1726.17749023,2025-09-14,2025-09-16
48,RB Leipzig,GER,1,1724.37268066,2025-09-14,2025-09-16
49,Leeds,ENG,1,1723.91015625,2025-09-14,2025-09-16
50,Burnley,ENG,1,1716.91992188,2025-09-15,2025-09-16
51,Strasbourg,FRA,1,1716.33886719,2025-09-15,2025-09-16
52,Galatasaray,TUR,1,1714.37695312,2025-09-15,2025-09-16
53,Wolves,ENG,1,1712.14013672,2025-09-14,2025-09-16
54,Stuttgart,GER,1,1703.84973145,2025-09-14,2025-09-16
55,Osasuna,ESP,1,1702.28710938,2025-09-15,2025-09-16
56,Lens,FRA,1,1694.22143555,2025-09-15,2025-09-16
57,Olympiakos,GRE,1,1692.31005859,2025-09-14,2025-09-17
58,Mainz,GER,1,1689.73742676,2025-09-14,2025-09-16
59,Nice,FRA,1,1689.71032715,2025-09-14,2025-09-16
60,Werder,GER,1,1688.05065918,2025-09-15,2025-09-16
61,Torino,ITA,1,1685.40222168,2025-09-15,2025-09-16
62,Fenerbahce,TUR,1,1684.81665039,2025-09-15,2025-09-16
63,Slavia Praha,CZE,1,1681.18981934,2025-09-15,2025-09-17
64,Valencia,ESP,1,1677.83300781,2025-09-15,2025-09-16
65,Celta,ESP,1,1671.94677734,2025-09-15,2025-09-16
66,Rayo Vallecano,ESP,1,1666.35888672,2025-09-15,2025-09-16
67,Ajax,NED,1,1665.68725586,2025-09-15,2025-09-16
68,Freiburg,GER,1,1665.34741211,2025-09-15,2025-09-16
69,Rennes,FRA,1,1663.24682617,2025-09-15,2025-09-16
70,Toulouse,FRA,1,1663.17492676,2025-09-15,2025-09-16
71,Espanyol,ESP,1,1663.09313965,2025-09-16,2025-09-16
72,Alaves,ESP,1,1662.67663574,2025-09-16,2025-09-16
73,Bodoe Glimt,NOR,1,1657.87719727,2025-09-15,2025-09-17
74,Genoa,ITA,1,1656.95324707,2025-09-16,2025-09-16
75,Como,ITA,1,1656.9128418,2025-09-16,2025-09-16
76,Sociedad,ESP,1,1655.44128418,2025-09-15,2025-09-16
77,Celtic,SCO,1,1655.41430664,2025-09-15,2025-09-16
78,Wolfsburg,GER,1,1653.8190918,2025-09-14,2025-09-16
79,FC Kobenhavn,DEN,1,1653.38500977,2025-09-14,2025-09-16
80,Getafe,ESP,1,1649.17211914,2025-09-15,2025-09-16
81,Braga,POR,1,1646.90771484,2025-09-15,2025-09-16
82,Brest,FRA,1,1646.43322754,2025-09-15,2025-09-16
83,Alkmaar,NED,1,1643.77600098,2025-09-15,2025-09-16
84,Udinese,ITA,1,1641.4786377,2025-09-15,2025-09-16
85,Zenit,RUS,1,1640.33081055,2025-09-15,2025-09-16
86,Sevilla,ESP,1,1635.05517578,2025-09-15,2025-09-16
87,FC Krasnodar,RUS,1,1631.63244629,2025-09-16,2025-09-16
88,Genk,BEL,1,1630.44946289,2025-09-16,2025-09-16
89,Mallorca,ESP,1,1628.1015625,2025-09-16,2025-09-16
90,Hoffenheim,GER,1,1626.81396484,2025-09-15,2025-09-16
91,Augsburg,GER,1,1624.3885498,2025-09-15,2025-09-16
92,Midtjylland,DEN,1,1618.32226562,2025-09-15,2025-09-16
93,Leicester,ENG,2,1617.57116699,2025-09-15,2025-09-16
94,Cagliari,ITA,1,1613.60522461,2025-09-15,2025-09-16
95,Auxerre,FRA,1,1610.8873291,2025-09-15,2025-09-16
96,Gladbach,GER,1,1610.59362793,2025-09-15,2025-09-16
97,Union Berlin,GER,1,1609.61169434,2025-09-15,2025-09-16
98,CSKA Moskva,RUS,1,1609.09484863,2025-09-15,2025-09-19
99,Girona,ESP,1,1608.18664551,2025-09-15,2025-09-16
100,Elche,ESP,1,1607.26123047,2025-09-14,2025-09-16
None,St Pauli,GER,1,1603.86303711,2025-09-15,2025-09-16
None,Utrecht,NED,1,1597.57446289,2025-09-15,2025-09-16
None,Leganes,ESP,2,1597.11987305,2025-09-15,2025-09-16
None,Sassuolo,ITA,1,1595.90283203,2025-09-15,2025-09-16
None,Levante,ESP,1,1595.44067383,2025-09-15,2025-09-16
None,Parma,ITA,1,1594.55627441,2025-09-14,2025-09-16
None,Crvena Zvezda,SRB,1,1590.41052246,2025-09-15,2025-09-20
None,Verona,ITA,1,1588.55786133,2025-09-16,2025-09-16
None,Ipswich,ENG,2,1587.30187988,2025-09-13,2025-09-16
None,Koeln,GER,1,1586.45959473,2025-09-14,2025-09-16
None,PAOK,GRE,1,1586.18469238,2025-09-15,2025-09-17
None,Lorient,FRA,1,1585.59765625,2025-09-13,2025-09-16
None,Sunderland,ENG,1,1583.44567871,2025-09-14,2025-09-16
None,Oviedo,ESP,1,1581.85742188,2025-09-14,2025-09-16
None,Nantes,FRA,1,1581.74230957,2025-09-14,2025-09-16
None,AEK,GRE,1,1579.92468262,2025-09-15,2025-09-17
None,Lecce,ITA,1,1576.65209961,2025-09-15,2025-09-16
None,Viktoria Plzen,CZE,1,1573.5859375,2025-09-14,2025-09-17
None,Sparta Praha,CZE,1,1571.17370605,2025-09-15,2025-09-17
None,Reims,FRA,2,1570.99487305,2025-09-14,2025-09-16
None,Guimaraes,POR,1,1569.59558105,2025-09-15,2025-09-16
None,Middlesbrough,ENG,2,1568.23913574,2025-09-14,2025-09-16
None,Anderlecht,BEL,1,1567.77050781,2025-09-15,2025-09-16
None,Cremonese,ITA,1,1566.76989746,2025-09-16,2025-09-16
None,Empoli,ITA,2,1562.82958984,2025-09-15,2025-09-16
None,Coventry,ENG,2,1561.37475586,2025-09-14,2025-09-16
None,Rangers,SCO,1,1560.33251953,2025-09-14,2025-09-24
None,Las Palmas,ESP,2,1559.35559082,2025-09-13,2025-09-16
None,Bristol City,ENG,2,1558.61804199,2025-09-14,2025-09-16
None,Sheffield United,ENG,2,1558.26879883,2025-09-13,2025-09-16
None,Venezia,ITA,2,1556.09875488,2025-09-14,2025-09-16
None,Spartak Moskva,RUS,1,1554.22668457,2025-08-31,2025-11-30
None,Le Havre,FRA,1,1552.81799316,2025-09-15,2025-09-16
None,Metz,FRA,1,1552.45324707,2025-09-15,2025-09-16
None,Twente,NED,1,1552.3125,2025-09-14,2025-09-16
None,Brondby,DEN,1,1552.19787598,2025-09-14,2025-09-18
None,Shakhtar,UKR,1,1551.20678711,2025-09-14,2025-09-22
None,Paris FC,FRA,1,1548.98901367,2025-09-15,2025-09-16
None,Mjaellby,SWE,1,1546.73925781,2025-09-14,2025-09-20
None,Southampton,ENG,2,1546.69958496,2025-09-15,2025-09-16
None,Lok Moskva,RUS,1,1545.93579102,2025-09-01,2025-11-30
None,Salzburg,AUT,1,1545.91503906,2025-09-14,2025-09-20
None,Hamburg,GER,1,1544.95239258,2025-09-14,2025-09-16
None,Angers,FRA,1,1544.76318359,2025-09-15,2025-09-16
None,West Brom,ENG,2,1543.83081055,2025-09-14,2025-09-16
None,Saint-Etienne,FRA,2,1543.81201172,2025-09-14,2025-09-16
None,Cadiz,ESP,2,1542.50195312,2025-09-14,2025-09-16
None,Mirandes,ESP,2,1541.80749512,2025-09-14,2025-09-16
None,Heidenheim,GER,1,1541.45703125,2025-09-14,2025-09-16
None,M Tel Aviv,ISR,1,1537.76745605,2025-09-01,2025-09-16
None,Santander,ESP,2,1535.29797363,2025-09-15,2025-09-16
None,Viking,NOR,1,1533.8536377,2025-09-15,2025-09-17
None,Brann,NOR,1,1533.21459961,2025-09-14,2025-09-17
None,Antwerp,BEL,1,1532.56652832,2025-09-15,2025-09-16
None,Famalicao,POR,1,1531.91003418,2025-09-14,2025-09-16
None,Pisa,ITA,1,1530.24304199,2025-09-15,2025-09-16
None,Panathinaikos,GRE,1,1529.88781738,2025-09-15,2025-09-17
None,Eibar,ESP,2,1528.796875,2025-09-14,2025-09-16
None,Dynamo Moskva,RUS,1,1528.63293457,2025-09-01,2025-11-30
None,Sturm Graz,AUT,1,1528.47314453,2025-09-15,2025-09-20
None,Almeria,ESP,2,1525.60559082,2025-09-14,2025-09-16
None,Paphos,CYP,0,1524.84228516,2025-08-29,2025-09-17
None,Karabakh Agdam,AZE,0,1524.16418457,2025-08-28,2025-09-16
None,Rakow,POL,1,1523.06958008,2025-09-16,2025-09-20
None,Malmoe,SWE,1,1522.48181152,2025-09-15,2025-09-20
None,Swansea,ENG,2,1522.25927734,2025-09-14,2025-09-16
None,Basel,SUI,1,1519.16870117,2025-09-14,2025-09-24
None,Holstein,GER,2,1517.83410645,2025-09-14,2025-09-16
None,Nijmegen,NED,1,1517.67993164,2025-09-14,2025-09-16
None,Huesca,ESP,2,1516.77233887,2025-09-14,2025-09-16
None,Sparta Rotterdam,NED,1,1515.57775879,2025-09-15,2025-09-16
None,Norwich,ENG,2,1515.03930664,2025-09-14,2025-09-16
None,Nordsjaelland,DEN,1,1514.34399414,2025-09-15,2025-09-18
None,Charleroi,BEL,1,1513.52282715,2025-09-15,2025-09-16
None,Monza,ITA,2,1511.7800293,2025-09-13,2025-09-16
None,Hammarby,SWE,1,1511.32641602,2025-09-15,2025-09-21
None,Millwall,ENG,2,1511.02392578,2025-09-14,2025-09-16
None,Young Boys,SUI,1,1510.45861816,2025-09-15,2025-09-24
None,Stoke,ENG,2,1510.06506348,2025-09-14,2025-09-16
None,Elversberg,GER,2,1509.43652344,2025-09-15,2025-09-16
None,Depor,ESP,2,1509.23779297,2025-09-14,2025-09-16
None,Dinamo Zagreb,CRO,1,1509.16882324,2025-09-15,2025-09-20
None,Jablonec,CZE,1,1508.20910645,2025-09-15,2025-09-17
None,Spezia,ITA,2,1507.33044434,2025-09-15,2025-09-16
None,Ferencvaros,HUN,1,1507.26159668,2025-09-01,2025-09-19
None,Blackburn,ENG,2,1507.02026367,2025-09-14,2025-09-16
None,Jagiellonia,POL,1,1505.78918457,2025-09-14,2025-09-19
None,Bochum,GER,2,1504.6217041,2025-09-13,2025-09-16
None,Karlsruhe,GER,2,1504.18029785,2025-09-14,2025-09-16
None,Beer-Sheva,ISR,1,1503.24023438,2025-09-15,2025-09-21
None,Legia,POL,1,1501.82250977,2025-09-15,2025-09-20
None,Aarhus,DEN,1,1501.11230469,2025-09-15,2025-09-18
None,Lech,POL,1,1499.84606934,2025-09-13,2025-09-20
None,Mechelen,BEL,1,1497.69042969,2025-09-13,2025-09-16
None,Paderborn,GER,2,1496.75219727,2025-09-13,2025-09-16
None,Djurgarden,SWE,1,1495.56274414,2025-09-15,2025-09-20
None,Valladolid,ESP,2,1494.22045898,2025-09-14,2025-09-16
None,Go Ahead Eagles,NED,1,1493.69958496,2025-09-14,2025-09-16
None,Portsmouth,ENG,2,1492.47338867,2025-09-15,2025-09-16
None,Hannover,GER,2,1492.42919922,2025-09-14,2025-09-16
None,Moreirense,POR,1,1492.03979492,2025-09-14,2025-09-16
None,Gent,BEL,1,1491.10876465,2025-09-15,2025-09-16
None,QPR,ENG,2,1490.37573242,2025-09-14,2025-09-16
None,Burgos,ESP,2,1489.28076172,2025-09-15,2025-09-16
None,Dynamo Kyiv,UKR,1,1489.11022949,2025-09-14,2025-09-22
None,Duesseldorf,GER,2,1488.31994629,2025-09-15,2025-09-16
None,Gijon,ESP,2,1488.09973145,2025-09-15,2025-09-16
None,Granada,ESP,2,1485.89233398,2025-09-15,2025-09-16
None,Preston,ENG,2,1485.47705078,2025-09-14,2025-09-16
None,Frosinone,ITA,2,1485.44702148,2025-09-14,2025-09-16
None,Palermo,ITA,2,1484.89831543,2025-09-15,2025-09-16
None,Craiova,ROM,1,1482.8605957,2025-09-15,2025-09-20
None,Hull,ENG,2,1479.2947998,2025-09-14,2025-09-16
None,Westerlo,BEL,1,1477.24621582,2025-09-15,2025-09-16
None,Trabzonspor,TUR,1,1477.04614258,2025-09-15,2025-09-18
None,Rosenborg,NOR,1,1475.68469238,2025-09-15,2025-09-17
None,Besiktas,TUR,1,1475.41455078,2025-09-14,2025-09-18
None,Gil Vicente,POR,1,1475.26806641,2025-09-15,2025-09-16
None,Santa Clara,POR,1,1475.25061035,2025-09-13,2025-09-16
None,Omonia,CYP,0,1472.90869141,2025-08-29,2025-09-17
None,Albacete,ESP,2,1472.55102539,2025-09-16,2025-09-16
None,Montpellier,FRA,2,1470.7208252,2025-09-16,2025-09-16
None,Zwolle,NED,1,1470.6027832,2025-09-14,2025-09-16
None,Razgrad,BUL,1,1470.08435059,2025-09-15,2025-09-19
None,Wolfsberg,AUT,1,1468.41271973,2025-09-14,2025-09-20
None,Rapid Wien,AUT,1,1468.0690918,2025-09-15,2025-09-21
None,Arouca,POR,1,1467.92919922,2025-09-15,2025-09-16
None,Aris Limassol,CYP,0,1467.3638916,2025-08-29,2025-09-17
None,Watford,ENG,2,1466.29101562,2025-09-14,2025-09-16
None,Derby,ENG,2,1465.80383301,2025-09-14,2025-09-16
None,Casa Pia,POR,1,1465.68041992,2025-09-15,2025-09-16
None,Lautern,GER,2,1465.67858887,2025-09-15,2025-09-16
None,Elfsborg,SWE,1,1465.3326416,2025-09-15,2025-09-20
None,Darmstadt,GER,2,1463.53625488,2025-09-14,2025-09-16
None,Estoril,POR,1,1463.17199707,2025-09-14,2025-09-16
None,St Truiden,BEL,1,1462.35595703,2025-09-15,2025-09-16
None,Malaga,ESP,2,1461.30859375,2025-09-14,2025-09-16
None,Pogon,POL,1,1461.14709473,2025-09-14,2025-09-21
None,Catanzaro,ITA,2,1460.25158691,2025-09-14,2025-09-16
None,Randers,DEN,1,1460.02026367,2025-09-13,2025-09-18
None,Cercle Brugge,BEL,1,1458.78234863,2025-09-15,2025-09-16
None,Steaua,ROM,1,1458.7520752,2025-09-15,2025-09-19
None,Hertha,GER,2,1457.6998291,2025-09-14,2025-09-16
None,Larnaca,CYP,0,1457.03369141,2025-08-29,2025-09-17
None,Andorra CF,ESP,2,1456.07312012,2025-09-15,2025-09-16
None,AIK,SWE,1,1455.90698242,2025-09-16,2025-09-22
None,Rubin Kazan,RUS,1,1453.67578125,2025-08-31,2025-11-30
None,Guingamp,FRA,2,1452.76416016,2025-09-16,2025-09-16
None,Troyes,FRA,2,1452.23925781,2025-09-13,2025-09-16
None,Juve Stabia,ITA,2,1451.68054199,2025-09-14,2025-09-16
None,Cordoba,ESP,2,1450.99084473,2025-09-15,2025-09-16
None,Cesena,ITA,2,1450.76879883,2025-09-14,2025-09-16
None,Rio Ave,POR,1,1450.60864258,2025-09-14,2025-09-16
None,Celje,SVN,1,1448.68615723,2025-09-15,2025-09-21
None,Gornik,POL,1,1448.42346191,2025-09-16,2025-09-21
None,Viborg,DEN,1,1447.7244873,2025-09-15,2025-09-18
None,Modena,ITA,2,1446.33239746,2025-09-14,2025-09-16
None,Tromso,NOR,1,1446.31713867,2025-09-15,2025-09-17
None,Cracovia,POL,1,1446.20629883,2025-09-01,2025-09-19
None,Oxford,ENG,2,1444.85705566,2025-09-14,2025-09-16
None,Sheffield Weds,ENG,2,1444.7734375,2025-09-14,2025-09-16
None,Suedtirol,ITA,2,1444.51586914,2025-09-15,2025-09-16
None,Bueyueksehir,TUR,1,1444.22045898,2025-09-14,2025-09-17
None,Silkeborg,DEN,1,1443.15197754,2025-09-15,2025-09-18
None,Laval,FRA,2,1442.69543457,2025-09-13,2025-09-16
None,Maccabi Haifa,ISR,1,1441.19262695,2025-09-16,2025-09-21
None,Groningen,NED,1,1440.69628906,2025-09-15,2025-09-16
None,Banik Ostrava,CZE,1,1439.87329102,2025-09-14,2025-09-17
None,Molde,NOR,1,1439.7401123,2025-09-14,2025-09-17
None,Aris,GRE,1,1439.71508789,2025-09-14,2025-09-17
None,Austria Wien,AUT,1,1438.6607666,2025-09-15,2025-09-20
None,Rodez,FRA,2,1437.70751953,2025-09-13,2025-09-16
None,Sittard,NED,1,1436.01013184,2025-09-15,2025-09-16
None,Hearts,SCO,1,1435.4276123,2025-09-14,2025-09-24
None,Castellon,ESP,2,1435.1965332,2025-09-15,2025-09-16
None,Birmingham,ENG,2,1434.64880371,2025-09-14,2025-09-16
None,StGallen,SUI,1,1434.0657959,2025-09-14,2025-09-24
None,Baltika,RUS,1,1433.69970703,2025-09-01,2025-11-30
None,Zaragoza,ESP,2,1430.109375,2025-09-16,2025-09-16
None,Bastia,FRA,2,1429.41760254,2025-09-13,2025-09-16
None,Rostov,RUS,1,1428.76635742,2025-08-31,2025-11-30
None,Heerenveen,NED,1,1428.64428711,2025-09-14,2025-09-16
None,Sampdoria,ITA,2,1428.60778809,2025-09-14,2025-09-16
None,Carrarese,ITA,2,1428.04675293,2025-09-14,2025-09-16
None,Samsunspor,TUR,1,1427.96777344,2025-09-14,2025-09-17
None,Dunkerque,FRA,2,1427.20581055,2025-09-14,2025-09-16
None,Leonesa,ESP,2,1426.3762207,2025-09-15,2025-09-16
None,Sociedad B,ESP,2,1425.7746582,2025-09-13,2025-09-16
None,Standard,BEL,1,1425.07751465,2025-09-13,2025-09-16
None,Korona,POL,1,1424.98620605,2025-09-14,2025-09-20
None,Bari,ITA,2,1424.57629395,2025-09-14,2025-09-16
None,Annecy,FRA,2,1423.99853516,2025-09-14,2025-09-16
None,Charlton,ENG,2,1423.29077148,2025-09-14,2025-09-16
None,Magdeburg,GER,2,1423.19372559,2025-09-13,2025-09-16
None,Schalke,GER,2,1421.78308105,2025-09-14,2025-09-16
None,Reggiana,ITA,2,1420.91174316,2025-09-14,2025-09-16
None,Leuven,BEL,1,1420.56152344,2025-09-14,2025-09-16
None,Goeteborg,SWE,1,1419.21630859,2025-09-16,2025-09-21
None,Wrexham,ENG,2,1419.00415039,2025-09-14,2025-09-16
None,Clermont,FRA,2,1418.9765625,2025-09-14,2025-09-16
None,Muenster,GER,2,1417.3626709,2025-09-15,2025-09-16
None,Hibernian,SCO,1,1417.06958008,2025-09-14,2025-09-23
None,Alanyaspor,TUR,1,1416.36657715,2025-09-14,2025-09-17
None,Ceuta,ESP,2,1414.87878418,2025-09-15,2025-09-16
None,Red Star,FRA,2,1414.828125,2025-09-13,2025-09-16
None,Levski,BUL,1,1414.6607666,2025-09-15,2025-09-19
None,Goeztepe,TUR,1,1414.6315918,2025-09-15,2025-09-18
None,Grenoble,FRA,2,1414.56689453,2025-09-14,2025-09-16
None,Piast Gliwice,POL,1,1411.05126953,2025-09-14,2025-09-20
None,Servette,SUI,1,1410.83081055,2025-09-14,2025-09-17
None,Hajduk,CRO,1,1409.68725586,2025-09-14,2025-09-20
None,Slovan Liberec,CZE,1,1407.93286133,2025-09-14,2025-09-17
None,GAIS,SWE,1,1406.91113281,2025-09-15,2025-09-20
None,Nacional,POR,1,1406.59631348,2025-09-14,2025-09-16
None,Mantova,ITA,2,1405.87524414,2025-09-15,2025-09-16
None,Nuernberg,GER,2,1405.5690918,2025-09-14,2025-09-16
None,Konyaspor,TUR,1,1403.171875,2025-09-14,2025-09-18
None,Lausanne,SUI,1,1402.87573242,2025-09-15,2025-09-17
None,Hradec Kralove,CZE,1,1402.26867676,2025-09-15,2025-09-17
None,CFR Cluj,ROM,1,1401.85388184,2025-09-14,2025-09-21
None,Rapid Bucuresti,ROM,1,1401.53344727,2025-09-13,2025-09-21
None,Fredrikstad,NOR,1,1401.44641113,2025-09-14,2025-09-17
None,Kasimpasa,TUR,1,1401.35534668,2025-09-14,2025-09-17
None,Pau,FRA,2,1399.68994141,2025-09-13,2025-09-16
None,Haecken,SWE,1,1399.60986328,2025-09-16,2025-09-21
None,Amiens,FRA,2,1399.01843262,2025-09-13,2025-09-16
None,Kryliya Sovetov,RUS,1,1398.45568848,2025-09-01,2025-11-30
None,Rijeka,CRO,1,1395.64831543,2025-09-14,2025-09-22
None,Partizan,SRB,1,1395.47460938,2025-09-15,2025-09-20
None,SonderjyskE,DEN,1,1392.8515625,2025-09-13,2025-09-18
None,Fuerth,GER,2,1392.06567383,2025-09-15,2025-09-16
None,Puskas Akademia,HUN,1,1391.07275391,2025-08-31,2025-09-20
None,IK Sirius,SWE,1,1389.90930176,2025-09-15,2025-09-21
None,Nancy,FRA,2,1389.77893066,2025-09-13,2025-09-16
None,KFUM Oslo,NOR,1,1389.74987793,2025-09-15,2025-09-17
None,LASK,AUT,1,1387.15332031,2025-09-14,2025-09-21
None,Zuerich,SUI,1,1385.95129395,2025-09-14,2025-09-24
None,Bielefeld,GER,2,1385.87158203,2025-09-13,2025-09-16
None,Luzern,SUI,1,1385.70373535,2025-09-15,2025-09-24
None,Terek Grozny,RUS,1,1385.68798828,2025-08-31,2025-11-30
None,Kayseri,TUR,1,1384.05432129,2025-09-15,2025-09-18
None,Entella,ITA,2,1384.01733398,2025-09-15,2025-09-16
None,Slovan Bratislava,SLK,0,1382.40673828,2025-08-29,2025-10-02
None,Sarpsborg,NOR,1,1382.2376709,2025-09-15,2025-09-17
None,Braunschweig,GER,2,1381.22558594,2025-09-14,2025-09-16
None,Paksi,HUN,1,1381.00268555,2025-08-30,2025-09-20
None,Avellino,ITA,2,1379.38293457,2025-09-13,2025-09-16
None,Alverca,POR,1,1379.2409668,2025-09-13,2025-09-16
None,Hartberg,AUT,1,1379.08508301,2025-09-15,2025-09-20
None,Heracles,NED,1,1377.32751465,2025-09-15,2025-09-16
None,Sandefjord,NOR,1,1377.02026367,2025-09-15,2025-09-17
None,Gaziantep FK,TUR,1,1374.94628906,2025-09-15,2025-09-18
None,Rizespor,TUR,1,1374.92321777,2025-09-16,2025-09-18
None,Radomiak,POL,1,1374.88513184,2025-09-15,2025-09-20
None,St Mirren,SCO,1,1373.77258301,2025-09-14,2025-09-24
None,Dender,BEL,1,1373.13586426,2025-09-14,2025-09-16
None,Estrela Amadora,POR,1,1372.21691895,2025-09-15,2025-09-16
None,Le Mans,FRA,2,1369.86120605,2025-09-13,2025-09-16
None,Plock,POL,1,1369.69787598,2025-08-30,2025-09-19
None,Sigma Olomouc,CZE,1,1369.36132812,2025-09-14,2025-09-17
None,Lubin,POL,1,1368.90063477,2025-09-13,2025-09-21
None,Katowice,POL,1,1368.70031738,2025-09-13,2025-09-19
None,Fredericia,DEN,1,1368.0793457,2025-09-16,2025-09-18
None,Tondela,POR,1,1366.3470459,2025-09-13,2025-09-16
None,Antalyaspor,TUR,1,1366.32189941,2025-09-14,2025-09-18
None,Padova,ITA,2,1364.31140137,2025-09-14,2025-09-16
None,Gyoer,HUN,1,1362.58850098,2025-09-01,2025-09-20
None,Widzew,POL,1,1362.38671875,2025-09-15,2025-09-21
None,Motor Lublin,POL,1,1361.07324219,2025-09-15,2025-09-21
None,Sion,SUI,1,1360.95910645,2025-09-15,2025-09-17
None,Lugano,SUI,1,1360.91308594,2025-09-14,2025-09-17
None,Volendam,NED,1,1360.90637207,2025-09-14,2025-09-16
None,Pescara,ITA,2,1359.63977051,2025-09-14,2025-09-16
None,Breda,NED,1,1359.1126709,2025-09-14,2025-09-16
None,Universitatea Cluj,ROM,1,1357.18896484,2025-09-13,2025-09-25
None,Eyupspor,TUR,1,1356.78442383,2025-09-14,2025-09-18
None,Maribor,SVN,1,1355.25366211,2025-09-14,2025-09-19
None,FK Astana,KAZ,0,1354.2199707,2025-08-27,2025-09-18
None,Valerenga,NOR,1,1353.98303223,2025-09-14,2025-09-17
None,Vejle,DEN,1,1351.3939209,2025-09-16,2025-09-18
None,Boulogne,FRA,2,1350.64025879,2025-09-13,2025-09-16
None,Dinamo Bucuresti,ROM,1,1350.4777832,2025-09-16,2025-09-22
None,Telstar,NED,1,1350.11218262,2025-09-15,2025-09-16
None,Akron Togliatti,RUS,1,1349.95227051,2025-09-01,2025-11-30
None,Shamrock,IRL,0,1349.64526367,2025-08-29,2025-10-02
None,Atromitos,GRE,1,1349.27868652,2025-09-14,2025-09-17
None,Dynamo Makhachkala,RUS,1,1348.7668457,2025-09-01,2025-11-30
None,Levadeiakos,GRE,1,1348.48156738,2025-09-15,2025-09-17
None,Orenburg,RUS,1,1347.84301758,2025-08-31,2025-11-30
None,Odense,DEN,1,1346.41943359,2025-09-15,2025-09-18
None,Excelsior,NED,1,1344.91320801,2025-09-15,2025-09-16
None,Hapoel Haifa,ISR,1,1344.1171875,2025-08-31,2025-09-21
None,Bohemians Praha,CZE,1,1343.55981445,2025-09-15,2025-09-17
None,Grasshoppers,SUI,1,1343.44433594,2025-09-15,2025-09-24
None,Nieciecza,POL,1,1343.25537109,2025-09-15,2025-09-20
None,AVS Futebol,POR,1,1341.5859375,2025-09-14,2025-09-16
None,RAAL,BEL,1,1340.90979004,2025-09-14,2025-09-16
None,Brommapojkarna,SWE,1,1340.67919922,2025-09-16,2025-09-21
None,Zulte Waregem,BEL,1,1340.09448242,2025-09-14,2025-09-16
None,Dresden,GER,2,1339.82348633,2025-09-15,2025-09-16
